node1,node2,distance,raw_beauty,raw_roughness,raw_safety,raw_slope,comfort_beauty,comfort_roughness,comfort_safety,comfort_slope
0,3,120,2,2,2,1,2,2,4,5
0,10,200,5,2,5,2,5,2,1,4
0,2,65,2,1,1,3,2,1,5,3
0,17,73,2,2,4,4,2,2,2,2
0,13,95,3,4,2,3,3,4,4,3
1,3,89,2,4,5,1,2,4,1,5
1,14,75,1,4,3,1,1,4,3,5
1,12,92,4,1,4,3,4,1,2,3
1,19,199,4,5,5,2,4,5,1,4
1,16,70,2,1,5,1,2,1,1,5
1,2,157,5,5,5,3,5,5,1,3
1,11,199,5,2,4,2,5,2,2,4
1,9,143,1,3,2,2,1,3,4,4
2,17,158,1,1,1,2,1,1,5,4
2,9,109,1,4,3,4,1,4,3,2
2,15,67,5,2,2,4,5,2,4,2
2,16,110,3,4,2,5,3,4,4,1
2,10,52,4,5,5,1,4,5,1,5
2,13,120,1,1,3,2,1,1,3,4
2,8,121,3,5,4,5,3,5,2,1
3,12,141,3,5,3,1,3,5,3,5
3,17,118,3,1,3,4,3,1,3,2
3,9,179,5,2,2,3,5,2,4,3
3,6,74,4,3,4,4,4,3,2,2
3,11,193,4,5,2,2,4,5,4,4
3,5,147,1,4,2,2,1,4,4,4
3,8,95,5,3,1,1,5,3,5,5
4,18,197,4,2,4,4,4,2,2,2
4,8,79,1,5,2,3,1,5,4,3
5,11,144,3,2,3,1,3,2,3,5
5,19,186,2,2,4,4,2,2,2,2
5,14,50,3,5,2,5,3,5,4,1
5,17,185,1,5,3,4,1,5,3,2
5,8,168,2,1,4,5,2,1,2,1
6,15,151,4,2,3,2,4,2,3,4
6,7,98,5,4,2,4,5,4,4,2
6,9,64,5,5,1,3,5,5,5,3
6,8,130,2,3,4,2,2,3,2,4
6,16,117,2,3,1,2,2,3,5,4
6,10,117,5,4,3,1,5,4,3,5
6,18,115,1,4,1,5,1,4,5,1
7,16,56,5,2,5,4,5,2,1,2
7,14,200,3,1,2,4,3,1,4,2
7,17,187,3,5,4,5,3,5,2,1
7,12,80,5,2,5,5,5,2,1,1
8,10,89,2,3,1,1,2,3,5,5
8,17,106,3,1,2,1,3,1,4,5
8,16,158,2,5,2,3,2,5,4,3
9,11,111,1,2,5,1,1,2,1,5
9,14,158,5,4,2,2,5,4,4,4
9,17,185,1,5,3,1,1,5,3,5
10,12,118,1,2,5,3,1,2,1,3
11,19,197,2,1,1,2,2,1,5,4
11,12,106,2,5,4,1,2,5,2,5
11,14,128,2,2,1,2,2,2,5,4
12,19,169,5,3,5,1,5,3,1,5
13,17,52,1,1,2,5,1,1,4,1
13,19,138,3,4,5,5,3,4,1,1
14,17,81,4,1,5,3,4,1,1,3
14,16,165,1,2,2,1,1,2,4,5
